wavelength,u,g,r,i,z,Y
300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
301,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
302,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
303,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
304,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
305,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
306,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
308,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
309,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
311,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
312,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
313,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
314,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
315,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
316,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
318,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
319,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
321,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
322,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
323,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
324,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
325,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
326,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
327,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
328,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
329,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
330,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
331,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
332,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
334,0.00139,0.00000,0.00032,0.00011,0.00071,0.00005
335,0.00275,0.00000,0.00031,0.00011,0.00078,0.00006
336,0.00346,0.00000,0.00030,0.00010,0.00083,0.00007
337,0.00395,0.00000,0.00028,0.00010,0.00086,0.00008
338,0.00455,0.00000,0.00027,0.00009,0.00091,0.00009
339,0.00468,0.00000,0.00026,0.00009,0.00097,0.00009
340,0.00471,0.00000,0.00024,0.00008,0.00100,0.00010
341,0.00566,0.00000,0.00023,0.00008,0.00106,0.00011
342,0.00635,0.00025,0.00020,0.00007,0.00111,0.00012
343,0.00723,0.00024,0.00020,0.00007,0.00103,0.00011
344,0.00809,0.00024,0.00020,0.00006,0.00094,0.00010
345,0.00904,0.00023,0.00020,0.00006,0.00086,0.00009
346,0.00997,0.00023,0.00020,0.00006,0.00078,0.00008
347,0.00978,0.00022,0.00020,0.00005,0.00069,0.00007
348,0.01148,0.00021,0.00020,0.00005,0.00060,0.00006
349,0.01179,0.00021,0.00019,0.00004,0.00051,0.00005
350,0.01283,0.00020,0.00019,0.00004,0.00042,0.00004
351,0.01389,0.00020,0.00019,0.00003,0.00032,0.00002
352,0.01431,0.00019,0.00019,0.00003,0.00023,0.00001
353,0.01606,0.00019,0.00019,0.00003,0.00022,0.00002
354,0.01846,0.00019,0.00018,0.00003,0.00021,0.00003
355,0.01908,0.00018,0.00018,0.00003,0.00020,0.00004
356,0.02236,0.00018,0.00018,0.00003,0.00020,0.00004
357,0.02272,0.00018,0.00017,0.00003,0.00019,0.00005
358,0.02554,0.00018,0.00017,0.00003,0.00018,0.00006
359,0.02754,0.00017,0.00016,0.00003,0.00017,0.00007
360,0.02964,0.00017,0.00016,0.00003,0.00017,0.00008
361,0.03094,0.00017,0.00016,0.00003,0.00016,0.00009
362,0.03505,0.00017,0.00015,0.00003,0.00017,0.00009
363,0.03718,0.00017,0.00015,0.00003,0.00018,0.00010
364,0.03933,0.00017,0.00015,0.00002,0.00019,0.00010
365,0.04150,0.00017,0.00015,0.00002,0.00020,0.00011
366,0.04778,0.00017,0.00015,0.00002,0.00021,0.00012
367,0.04830,0.00017,0.00014,0.00001,0.00022,0.00012
368,0.05411,0.00017,0.00014,0.00001,0.00023,0.00013
369,0.05490,0.00017,0.00014,0.00001,0.00024,0.00014
370,0.05972,0.00018,0.00014,0.00000,0.00025,0.00014
371,0.06152,0.00018,0.00014,0.00000,0.00026,0.00015
372,0.06438,0.00017,0.00014,0.00000,0.00028,0.00014
373,0.06741,0.00017,0.00014,0.00000,0.00030,0.00012
374,0.07102,0.00017,0.00014,0.00000,0.00031,0.00011
375,0.07466,0.00018,0.00014,0.00000,0.00033,0.00010
376,0.07834,0.00019,0.00014,0.00001,0.00035,0.00008
377,0.08188,0.00019,0.00014,0.00001,0.00037,0.00007
378,0.08514,0.00021,0.00014,0.00001,0.00039,0.00005
379,0.08844,0.00024,0.00014,0.00001,0.00040,0.00004
380,0.09331,0.00026,0.00014,0.00001,0.00042,0.00002
381,0.09493,0.00029,0.00014,0.00001,0.00044,0.00001
382,0.09750,0.00033,0.00016,0.00002,0.00041,0.00001
383,0.09989,0.00039,0.00018,0.00002,0.00038,0.00001
384,0.10447,0.00044,0.00020,0.00003,0.00035,0.00001
385,0.10755,0.00052,0.00022,0.00003,0.00032,0.00001
386,0.11066,0.00063,0.00024,0.00004,0.00029,0.00001
387,0.11430,0.00073,0.00026,0.00004,0.00026,0.00001
388,0.11822,0.00090,0.00028,0.00004,0.00023,0.00001
389,0.11963,0.00107,0.00030,0.00005,0.00020,0.00001
390,0.12105,0.00134,0.00032,0.00005,0.00017,0.00001
391,0.12479,0.00180,0.00034,0.00006,0.00013,0.00001
392,0.12931,0.00241,0.00033,0.00012,0.00018,0.00002
393,0.13032,0.00313,0.00033,0.00019,0.00022,0.00004
394,0.13457,0.00385,0.00033,0.00025,0.00026,0.00006
395,0.13817,0.01242,0.00033,0.00031,0.00031,0.00008
396,0.14129,0.04417,0.00033,0.00038,0.00035,0.00010
397,0.14048,0.08570,0.00033,0.00044,0.00040,0.00012
398,0.12003,0.11965,0.00033,0.00051,0.00044,0.00014
399,0.09108,0.12397,0.00033,0.00058,0.00049,0.00016
400,0.05040,0.13403,0.00032,0.00064,0.00045,0.00018
401,0.01881,0.13963,0.00034,0.00071,0.00041,0.00018
402,0.00771,0.14745,0.00035,0.00078,0.00038,0.00018
403,0.00309,0.14977,0.00035,0.00085,0.00034,0.00019
404,0.00137,0.15125,0.00035,0.00092,0.00030,0.00019
405,0.00126,0.15274,0.00035,0.00099,0.00026,0.00020
406,0.00106,0.15597,0.00036,0.00106,0.00022,0.00020
407,0.00037,0.15923,0.00036,0.00113,0.00019,0.00021
408,0.00021,0.16179,0.00036,0.00120,0.00015,0.00021
409,0.00020,0.16405,0.00036,0.00127,0.00011,0.00022
410,0.00018,0.16628,0.00037,0.00134,0.00007,0.00023
411,0.00013,0.16802,0.00037,0.00136,0.00007,0.00024
412,0.00010,0.17082,0.00038,0.00138,0.00008,0.00025
413,0.00010,0.17365,0.00039,0.00141,0.00009,0.00026
414,0.00009,0.17575,0.00040,0.00143,0.00009,0.00027
415,0.00009,0.17819,0.00040,0.00145,0.00010,0.00028
416,0.00008,0.18354,0.00041,0.00147,0.00011,0.00030
